DEPT    .M    ,RMG     .none ,RMN     .none ,RMN-RMG,CAL     .none ,SP      .none,GR      .none ,HAC     .none,BHC     .none,DEN     .none
856.519,3.018,2.733,-0.285,22.659,102.626,112.801,406.623,404.328,2.306
856.569,2.943,2.701,-0.242,22.712,102.556,113.389,404.167,406.571,2.303
856.619,2.849,2.715,-0.134,22.738,102.556,113.585,403.739,408.173,2.302
856.669,2.885,2.728,-0.157,22.698,102.695,112.997,405.555,409.775,2.301
856.719,2.88,2.642,-0.238,22.64,102.695,111.722,406.09,408.921,2.305
856.769,3.059,2.738,-0.321,22.619,102.626,110.446,407.374,409.082,2.307
856.819,3.22,2.911,-0.309,22.654,102.695,108.485,411.218,410.363,2.306
856.869,3.219,2.954,-0.265,22.726,102.973,108.092,412.607,410.951,2.3
856.919,3.25,2.999,-0.251,22.803,103.251,107.21,413.675,411.485,2.299
856.969,3.296,2.963,-0.333,22.827,103.182,106.131,414.743,412.019,2.298
857.019,3.028,2.678,-0.35,22.783,103.043,104.659,414.957,412.073,2.296
857.069,2.703,2.474,-0.229,22.714,102.973,102.992,414.423,413.141,2.295
857.119,2.714,2.474,-0.24,22.652,102.765,101.717,413.141,413.034,2.297
857.169,2.66,2.41,-0.25,22.611,102.695,101.325,410.364,413.355,2.303
857.219,2.762,2.511,-0.251,22.579,102.834,102.011,410.15,413.889,2.307
857.269,2.96,2.641,-0.319,22.549,102.834,102.796,412.393,413.889,2.31
857.319,2.748,2.536,-0.212,22.535,102.695,103.384,412.392,413.408,2.308
857.369,2.564,2.504,-0.06,22.541,102.556,104.071,408.12,412.607,2.304
857.419,2.76,2.638,-0.122,22.544,102.487,105.738,404.274,412.019,2.297
857.469,2.939,2.649,-0.29,22.527,102.487,106.229,397.866,410.044,2.293
857.519,2.86,2.541,-0.319,22.491,102.487,106.033,402.353,407.051,2.295
857.569,2.74,2.526,-0.214,22.447,102.487,106.033,408.122,405.983,2.309
857.619,2.694,2.494,-0.2,22.422,102.418,105.64,418.697,406.41,2.314
857.669,2.583,2.39,-0.193,22.42,102.209,105.738,419.337,407.318,2.31
857.719,2.595,2.435,-0.16,22.417,102.07,105.542,416.668,408.119,2.301
857.769,2.824,2.655,-0.169,22.416,102.209,105.248,412.177,408.706,2.304
857.819,3.065,2.893,-0.172,22.405,102.348,105.052,406.726,406.783,2.314
857.869,3.283,3.013,-0.27,22.389,102.279,105.15,387.714,400.214,2.326
857.919,3.206,2.867,-0.339,22.417,102.14,105.542,380.557,398.024,2.337
857.969,2.666,2.58,-0.086,22.493,102.14,106.621,381.196,397.757,2.346
858.019,2.453,2.569,0.116,22.566,102.348,107.897,389.007,399.254,2.354
858.069,2.852,2.804,-0.048,22.597,102.626,109.858,413.357,402.831,2.323
858.119,3.108,2.863,-0.245,22.561,102.695,111.329,423.184,402.991,2.285
858.169,3.065,2.756,-0.309,22.504,102.487,111.722,424.893,401.443,2.246
858.219,2.798,2.551,-0.247,22.48,102.348,110.937,417.418,399.841,2.227
858.269,2.266,2.365,0.099,22.482,102.348,110.348,394.44,394.657,2.224
858.319,2.874,2.783,-0.091,22.495,102.418,109.269,385.258,392.682,2.23
858.369,4.533,3.433,-1.1,22.507,102.487,108.191,392.628,394.284,2.244
858.419,4.554,3.321,-1.233,22.508,102.487,106.818,415.165,400.479,2.251
858.469,3.392,2.773,-0.619,22.5,102.418,106.033,421.578,408.436,2.262
858.519,2.866,2.446,-0.42,22.491,102.279,104.267,418.8,412.235,2.264
858.569,2.942,2.592,-0.35,22.484,102.209,103.286,411.004,416.293,2.256
858.619,3.314,3.044,-0.27,22.491,102.209,102.207,408.227,417.147,2.245
858.669,3.372,3.121,-0.251,22.578,102.209,101.03,403.634,417.895,2.24
858.719,3.181,2.993,-0.188,22.729,102.279,100.148,401.71,418.109,2.248
858.769,3.235,3.06,-0.175,22.846,102.418,100.05,398.932,419.552,2.261
858.819,3.211,2.988,-0.223,22.918,102.556,100.638,400.537,420.835,2.268
858.869,3.102,2.826,-0.276,22.995,102.626,100.638,411.859,425.855,2.273
858.919,3.019,2.725,-0.294,23.101,102.556,100.344,418.374,428.685,2.268
858.969,2.787,2.685,-0.102,23.195,102.556,100.932,425.21,431.409,2.257
859.019,2.984,3.085,0.101,23.198,102.626,102.11,425.749,431.357,2.242
